Product ID,Sale Price,Order ID,Quantity,Order Date
AT8240-003,13995,72506,7,2022-12-12
943806-602,10995,52044,7,2022-12-12
AQ2568-100,5997,84221,8,2022-12-12
BV7766-100,12797,43816,9,2022-12-12
CD4159-606,5995,49061,6,2022-12-12
BQ5102-400,6597,63736,2,2022-12-12
918194-003,5597,87758,3,2022-12-12
AH7378-801,3997,30304,9,2022-12-12
CT5062-100,10995,52503,5,2022-12-12
CU2708-901,4495,69062,3,2022-12-12
CK2772-101,10995,93634,7,2022-12-12
CD4573-001,10995,24726,6,2022-12-12
310805-137,15995,63205,4,2022-12-12
CK4363-100,7595,68384,1,2022-12-12
AJ6844-007,11197,55796,9,2022-12-12
AT8179-100,9597,36551,7,2022-12-12
CJ0280-001,11995,86637,3,2022-12-12
AO0354-108,6995,67118,8,2022-12-12
BQ6044-100,12995,40214,8,2022-12-12
CD0916-001,11995,33808,9,2022-12-12
CK2772-101,10995,93092,7,2022-12-12
CQ6639-001,15995,78455,8,2022-12-12
CJ0509-001,7995,45159,9,2022-12-12
CD6615-100,13995,98471,6,2022-12-12
CK9670-100,18995,91744,8,2022-12-12
AQ2568-100,5997,50536,4,2022-12-12
AT7975-606,8495,73780,1,2022-12-12
AQ1189-009,10995,41643,1,2022-12-12
631261-035,2795,77404,6,2022-12-12
AT6099-606,6495,52171,6,2022-12-12
CJ1306-401,5247,90755,2,2022-12-12
CD7070-009,14995,61337,9,2022-12-12
CT2535-001,8997,14807,5,2022-12-12
AR4229-003,12995,77509,2,2022-12-12
AA1626-602,8795,70930,3,2022-12-12
AO2607-401,7197,40115,1,2022-12-12
832655-001,1595,45674,8,2022-12-12
BV0657-400,6495,72610,4,2022-12-12
CN6881-300,7995,76639,5,2022-12-12
AQ4174-049,22995,39174,9,2022-12-12
AT6110-004,3147,28310,9,2022-12-12
CN5455-160,11995,60282,7,2022-12-12
AA7408-008,5997,75038,4,2022-12-12
AA1636-406,6997,16022,4,2022-12-12
CI3869-500,15995,41971,1,2022-12-12
AQ8306-407,7997,26994,2,2022-12-12
BQ0129-106,6495,31410,2,2022-12-12
AV2605-101,5997,83041,5,2022-12-12
AT1198-401,7995,80452,2,2022-12-12
AH7378-801,3997,86964,5,2022-12-12
CI7388-600,16995,68941,3,2022-12-12
CT5064-001,13995,79920,9,2022-12-12
CD4363-103,10995,38531,5,2022-12-12
BV5740-101,6597,54834,6,2022-12-12
AT3378-471,8995,80113,3,2022-12-12
AT6100-606,6495,77638,4,2022-12-12
943806-602,10995,11385,4,2022-12-12
AH7857-009,11995,14523,3,2022-12-12
CU9174-600,13995,74689,2,2022-12-12
AT6100-606,6495,77085,2,2022-12-12
BQ7978-001,11995,73938,6,2022-12-12
CN2932-100,18995,62669,2,2022-12-12
705265-006,5495,96770,2,2022-12-12
AR6632-603,9597,80586,3,2022-12-12
BQ5467-101,8397,46219,4,2022-12-12
CJ0277-002,11995,81942,4,2022-12-12
CD3398-063,11995,39035,3,2022-12-12
CI9994-001,6995,79534,9,2022-12-12
BV4584-001,13597,55763,4,2022-12-12
943806-602,10995,86890,7,2022-12-12
CJ0217-001,6995,37370,6,2022-12-12
CK0986-002,2097,71809,1,2022-12-12
488161-602,1595,49077,9,2022-12-12
AQ7487-201,6995,69230,6,2022-12-12
AQ5708-201,6597,64091,6,2022-12-12
CW4409-100,19995,88339,9,2022-12-12
CI9994-001,6995,44837,9,2022-12-12
AT8000-104,5495,46723,1,2022-12-12
CK9671-001,18995,14819,7,2022-12-12
AA1636-406,6997,62917,9,2022-12-12
AO0577-717,3497,86119,1,2022-12-12
AT8242-009,15995,43050,5,2022-12-12
CI7395-100,10995,37866,9,2022-12-12
AO3116-004,5397,18954,8,2022-12-12
CD4161-606,22995,41799,5,2022-12-12
CU5646-001,16995,15876,1,2022-12-12
CD6720-808,21995,17470,1,2022-12-12
CJ1646-600,7495,73084,4,2022-12-12
CI9842-500,9995,43230,2,2022-12-12
AT8242-009,15995,18999,3,2022-12-12
AT7997-606,4995,24516,9,2022-12-12
AR4543-013,5995,37166,6,2022-12-12
AO0570-810,5247,95579,3,2022-12-12
CJ0882-001,6495,88993,4,2022-12-12
CT5063-100,18995,71916,6,2022-12-12
DA4155-400,16995,87556,6,2022-12-12
310805-137,15995,23498,1,2022-12-12
CD5050-400,16995,14466,8,2022-12-12
CK4363-100,7595,14097,2,2022-12-12
AH7378-801,3997,85212,1,2022-12-12
CQ3317-001,9995,26041,7,2022-12-12
AH6799-300,16995,94277,6,2022-12-12
AT7324-001,6397,21362,6,2022-12-12
CI7395-100,10995,66406,5,2022-12-12
CD2053-105,10995,10249,7,2022-12-12
BQ5972-001,11197,75011,5,2022-12-12
CD4387-100,8995,63175,9,2022-12-12
130690-017,15995,16171,2,2022-12-12
CT7698-600,11995,27409,5,2022-12-12
AT7996-606,7495,99494,1,2022-12-12
CD0191-009,6495,43501,8,2022-12-12
634835-108,8995,15920,9,2022-12-12
CI5646-200,9597,34659,1,2022-12-12
918194-003,5597,70360,4,2022-12-12
CU3004-176,9995,47690,8,2022-12-12
CT5770-300,14995,91978,1,2022-12-12
CJ1306-401,5247,85487,3,2022-12-12
CJ0860-668,7995,65361,8,2022-12-12
AQ0927-100,12995,13854,2,2022-12-12
CD0683-600,15995,19415,9,2022-12-12
AR4225-003,9597,22831,5,2022-12-12
CD2717-001,4495,53864,8,2022-12-12
CJ0860-668,7995,13629,4,2022-12-12
CD6721-808,22995,82737,6,2022-12-12
CD4161-606,22995,30058,3,2022-12-12
CJ1292-703,7495,78478,7,2022-12-12
CQ7731-900,10397,34238,7,2022-12-12
CI3831-200,6597,58916,3,2022-12-12
BQ5435-401,8995,26945,3,2022-12-12
414571-030,15995,52119,2,2022-12-12
812655-011,3997,25355,8,2022-12-12
CI3870-100,15995,36676,9,2022-12-12
AO9819-001,9637,21641,3,2022-12-12
AT8000-104,5495,30821,8,2022-12-12
CK2718-003,18995,70352,1,2022-12-12
BQ3610-100,7697,82150,5,2022-12-12
CK2085-002,14995,18159,4,2022-12-12
CI0808-100,5995,47056,8,2022-12-12
AT1198-401,7995,67217,7,2022-12-12
CD7287-003,4797,50175,1,2022-12-12
AH1016-602,5997,76137,3,2022-12-12
BQ6826-003,8995,69332,8,2022-12-12
CT4526-100,15995,83846,8,2022-12-12
807471-101,6995,94066,4,2022-12-12
AV4789-104,7197,60628,5,2022-12-12
BQ8927-102,10397,75947,9,2022-12-12
CT7695-401,11995,70398,5,2022-12-12
BQ3381-600,14995,65828,3,2022-12-12
AJ6959-717,4497,30479,6,2022-12-12
CK2085-002,14995,31103,1,2022-12-12
554724-050,9995,77988,3,2022-12-12
BQ6826-003,8995,78699,7,2022-12-12
CD0683-600,15995,48368,9,2022-12-12
AO3622-006,1995,27638,9,2022-12-12
AV5186-101,10495,35339,1,2022-12-12
CT5528-001,8997,66023,3,2022-12-12
CD7287-003,4797,86031,3,2022-12-12
CI7379-400,15995,11509,9,2022-12-12
310805-137,15995,69545,1,2022-12-12
CD3398-063,11995,17902,2,2022-12-12
CD0431-107,12995,99546,5,2022-12-12
CK4122-100,11197,17551,6,2022-12-12
CI3707-100,11997,95176,8,2022-12-12
CJ0710-004,7995,64302,3,2022-12-12
AQ7489-008,7995,36892,9,2022-12-12
414571-030,15995,53798,6,2022-12-12
CD8526-446,9995,46740,2,2022-12-12
CT9155-063,13995,22343,5,2022-12-12
CI3446-001,7995,72232,9,2022-12-12
BV7106-400,9995,40670,3,2022-12-12
CT3632-001,7995,71197,5,2022-12-12
CI3705-600,11197,24810,9,2022-12-12
CK0980-002,5995,13528,8,2022-12-12
CU3459-200,15995,66886,2,2022-12-12
BQ8928-011,10397,20872,7,2022-12-12
CK5669-400,11197,40829,7,2022-12-12
AH7858-010,9597,26030,4,2022-12-12
849560-001,15995,14899,3,2022-12-12
554724-050,9995,72727,1,2022-12-12
CT5528-001,8997,89357,6,2022-12-12
AT7975-606,8495,38525,1,2022-12-12
AQ2567-002,8397,94894,7,2022-12-12
CI3794-600,11197,61063,4,2022-12-12
AQ8306-407,7997,97773,9,2022-12-12
AQ2568-100,5997,77193,6,2022-12-12
AT7949-606,5995,62587,3,2022-12-12
CT5064-001,13995,80401,9,2022-12-12
BQ5102-400,6597,20115,2,2022-12-12
AT5269-606,7495,49110,7,2022-12-12
BQ5469-703,24995,82797,2,2022-12-12
CD2182-001,14397,97348,8,2022-12-12
CJ0710-004,7995,64809,9,2022-12-12
310805-137,15995,24587,1,2022-12-12
631261-035,2795,80596,8,2022-12-12
CJ9681-001,10497,89715,4,2022-12-12
631261-035,2795,32781,9,2022-12-12
AJ6900-102,16995,49915,8,2022-12-12
CJ0588-001,14995,61668,8,2022-12-12
AA8027-109,14995,11400,2,2022-12-12
CI3708-700,14995,36195,5,2022-12-12
CJ0818-146,11995,42307,9,2022-12-12
AT7949-606,5995,86125,4,2022-12-12
CD3460-010,9995,23907,8,2022-12-12
CD5082-001,8995,32852,1,2022-12-12
CT5543-300,12995,67458,7,2022-12-12
CD5028-900,10995,39382,7,2022-12-12
AO3108-018,8995,78099,6,2022-12-12
CD2182-001,14397,64318,8,2022-12-12
AQ0927-100,12995,52871,6,2022-12-12
CD0200-003,6995,59021,4,2022-12-12
BQ3212-600,3695,17180,1,2022-12-12
CT5064-001,13995,34287,2,2022-12-12
CD3002-103,10995,83783,7,2022-12-12
CT9155-063,13995,49237,7,2022-12-12
CI3794-600,11197,18140,4,2022-12-12
CT1549-001,9597,59385,6,2022-12-12
AQ1189-009,10995,75237,9,2022-12-12
CJ0860-668,7995,90928,7,2022-12-12
CI1694-300,11197,11390,5,2022-12-12
BV7782-001,7197,85892,8,2022-12-12
CI3794-600,11197,32364,6,2022-12-12
CJ0710-004,7995,61080,7,2022-12-12
AA1626-602,8795,29620,2,2022-12-12
AJ6959-717,4497,96618,9,2022-12-12
AO0354-108,6995,51554,6,2022-12-12
AT7978-414,5947,82825,7,2022-12-12
BQ6044-100,12995,65717,9,2022-12-12
AO0578-717,3497,97540,5,2022-12-12
CJ0882-001,6495,99310,3,2022-12-12
CU3005-171,9995,38089,2,2022-12-12
BQ4430-400,11197,55676,4,2022-12-12
CI3482-200,9995,45732,3,2022-12-12
CT1104-700,10995,31848,5,2022-12-12
AR3863-101,12995,28838,8,2022-12-12
CJ0280-001,11995,71620,7,2022-12-12
AT7978-414,5947,25810,8,2022-12-12
AR8836-009,4995,51160,1,2022-12-12
AR4229-003,12995,39474,8,2022-12-12
CT1104-700,10995,93976,6,2022-12-12
AO0566-606,7495,91108,1,2022-12-12
922474-001,13995,41577,1,2022-12-12
AA0287-002,6797,28543,8,2022-12-12
CJ9585-600,6297,72849,6,2022-12-12
AQ8228-102,7995,57335,2,2022-12-12
AA0287-002,6797,55466,5,2022-12-12
BV5740-101,6597,66144,7,2022-12-12
DA4155-400,16995,63509,6,2022-12-12
CQ6569-001,11197,43274,2,2022-12-12
AT1198-401,7995,67031,8,2022-12-12
AJ9515-001,6995,44370,2,2022-12-12
CD4387-100,8995,70475,2,2022-12-12
CJ0217-001,6995,79113,4,2022-12-12
CJ6314-146,9995,27425,1,2022-12-12
CD8526-446,9995,18931,6,2022-12-12
CJ0861-017,9995,35921,1,2022-12-12
BV1507-001,6597,17560,9,2022-12-12
AT7999-414,3497,52738,8,2022-12-12
AJ6959-717,4497,70692,8,2022-12-12
AV6337-003,9495,59503,9,2022-12-12
CI2668-004,11197,37009,9,2022-12-12
AH7857-009,11995,79800,2,2022-12-12
BQ9665-301,10995,79551,6,2022-12-12
CK1195-101,12995,26061,7,2022-12-12
414571-030,15995,59574,7,2022-12-12
AO0571-606,7495,31109,6,2022-12-12
CU2708-901,4495,11262,2,2022-12-12
CI3871-300,15995,43339,4,2022-12-12
BQ3203-007,6397,72880,8,2022-12-12
AT7975-606,8495,52797,4,2022-12-12
BQ9665-301,10995,92611,3,2022-12-12
CI3703-401,9597,38613,2,2022-12-12
AV5555-001,8797,85989,2,2022-12-12
CD4161-606,22995,66904,5,2022-12-12
AQ7878-003,7995,33284,1,2022-12-12
CD5036-100,7995,55020,1,2022-12-12
CJ0588-001,14995,63969,7,2022-12-12
AT2863-100,15995,46510,2,2022-12-12
CT4525-001,15995,69637,6,2022-12-12
AO7353-105,7995,50733,6,2022-12-12
CQ6569-001,11197,73456,1,2022-12-12
CT1531-001,15995,31637,7,2022-12-12
AQ1189-009,10995,99625,5,2022-12-12
AV1201-600,11995,95160,6,2022-12-12
AT6109-606,4495,87805,1,2022-12-12
CD3395-006,11995,47866,3,2022-12-12
BV1712-001,11897,27680,4,2022-12-12
CD4156-606,8495,73048,1,2022-12-12
AR3863-101,12995,30489,1,2022-12-12
CK3321-100,9097,23481,7,2022-12-12
AO0570-810,5247,69428,2,2022-12-12
BV6484-002,11197,58257,6,2022-12-12
AT5293-004,20995,25184,2,2022-12-12
CJ9684-001,11197,48136,2,2022-12-12
AA1640-002,9995,55614,2,2022-12-12
AQ7477-009,9995,51472,8,2022-12-12
AT7996-414,5247,62853,7,2022-12-12
AT5292-606,6495,42635,2,2022-12-12
CD0490-101,9995,56264,1,2022-12-12
CU2708-901,4495,14435,3,2022-12-12
325213-139,7597,55099,2,2022-12-12
CI3868-001,15995,22679,8,2022-12-12
CD0490-104,9995,98933,4,2022-12-12
315123-111,7595,24915,2,2022-12-12
AT7999-414,3497,52835,1,2022-12-12
CJ0842-600,6495,14674,2,2022-12-12
CJ6106-100,9995,42978,7,2022-12-12
AO0578-717,3497,61118,4,2022-12-12
CJ1300-401,5247,19561,2,2022-12-12
AT8242-009,15995,96832,4,2022-12-12
BQ5808-100,15997,32511,5,2022-12-12
AR9293-603,9597,90511,4,2022-12-12
BV7106-400,9995,74891,1,2022-12-12
CJ0818-146,11995,55010,1,2022-12-12
CU3005-171,9995,98145,3,2022-12-12
AV3866-001,16995,79147,7,2022-12-12
AT7898-104,22995,26311,5,2022-12-12
BQ4632-602,2495,73545,5,2022-12-12
AO4971-700,7797,13514,6,2022-12-12
AT7898-104,22995,59081,1,2022-12-12
AT7993-414,5247,56412,3,2022-12-12
CD7005-001,15995,59452,6,2022-12-12
AT8241-002,13995,44192,1,2022-12-12
CQ0278-200,7197,83572,9,2022-12-12
CQ6278-001,17995,64634,7,2022-12-12
CI3705-600,11197,79113,5,2022-12-12
CT4525-001,15995,12954,3,2022-12-12
CK0980-002,5995,54904,8,2022-12-12
AO7353-105,7995,46426,7,2022-12-12
CT5062-100,10995,14595,4,2022-12-12
414571-030,15995,49196,1,2022-12-12
CK4122-100,11197,36952,7,2022-12-12
CJ1646-600,7495,26859,4,2022-12-12
AA0287-002,6797,73776,3,2022-12-12
CI2668-004,11197,49696,6,2022-12-12
CD4363-103,10995,70059,4,2022-12-12
AT1198-401,7995,81469,4,2022-12-12
CT1030-100,9995,53745,3,2022-12-12
CD4365-003,7697,34465,1,2022-12-12
AT7999-414,3497,20779,2,2022-12-12
CK5669-400,11197,43416,4,2022-12-12
CD5007-102,13995,29680,6,2022-12-12
AQ7487-201,6995,52066,9,2022-12-12
AO3622-006,1995,26903,5,2022-12-12
AQ4312-107,5397,41332,5,2022-12-12
CU5133-600,13597,66835,4,2022-12-12
CU3004-176,9995,83593,2,2022-12-12
133000-106,11995,78036,7,2022-12-12
AJ6844-007,11197,76232,3,2022-12-12
AV6243-400,13995,16088,4,2022-12-12
CD6404-800,4797,53421,5,2022-12-12
CD5007-102,13995,96724,4,2022-12-12
CD6721-808,22995,98007,6,2022-12-12
AR4561-200,15995,53415,4,2022-12-12
CK5669-400,11197,56034,6,2022-12-12
AQ4176-049,21995,13864,9,2022-12-12
CI3709-001,16995,56084,4,2022-12-12
AO7353-105,7995,78648,7,2022-12-12
BV3387-400,13995,56628,3,2022-12-12
AT6099-606,6495,70785,4,2022-12-12
CU0814-102,9995,41448,1,2022-12-12
BV6344-001,7797,69377,8,2022-12-12
749571-154,6595,89611,9,2022-12-12
618919-031,2397,18356,4,2022-12-12
CK2085-002,14995,83880,9,2022-12-12
AV3866-001,16995,29374,9,2022-12-12
631261-035,2795,52059,2,2022-12-12
CI3707-100,11997,29402,6,2022-12-12
AT7978-414,5947,32296,3,2022-12-12
528895-003,11897,51996,7,2022-12-12
CU5133-600,13597,15638,9,2022-12-12
AO7351-104,7995,20852,7,2022-12-12
CU5646-001,16995,15669,5,2022-12-12
AT7995-104,7995,95838,4,2022-12-12
CD5086-500,8995,95622,6,2022-12-12
AA1640-002,9995,45228,2,2022-12-12
AA1640-002,9995,93440,7,2022-12-12
918194-003,5597,28017,8,2022-12-12
CI7523-002,10995,95058,2,2022-12-12
AA1625-009,8795,12202,8,2022-12-12
AH7858-010,9597,24157,5,2022-12-12
CT2535-001,8997,77748,5,2022-12-12
BQ6044-100,12995,41924,2,2022-12-12
AV9373-002,5597,26101,1,2022-12-12
AQ2568-100,5997,17666,3,2022-12-12
CN5455-160,11995,28141,7,2022-12-12
CU0675-300,9797,47565,6,2022-12-12
CI3871-300,15995,52587,6,2022-12-12
CI3794-600,11197,83646,2,2022-12-12
AT7898-104,22995,86958,5,2022-12-12
CD2153-001,10995,75160,1,2022-12-12
CN3591-002,11995,71305,1,2022-12-12
AR4561-200,15995,71096,4,2022-12-12
130690-017,15995,57359,4,2022-12-12
BQ4630-500,8797,52023,5,2022-12-12
634835-108,8995,34529,8,2022-12-12
CD5036-100,7995,67172,9,2022-12-12
CI1290-100,8397,15540,6,2022-12-12
BQ4630-500,8797,96910,4,2022-12-12
CD0881-104,9995,39203,2,2022-12-12
CT5528-001,8997,83510,7,2022-12-12
AT7968-606,4995,50127,4,2022-12-12
AA1626-602,8795,19082,8,2022-12-12
CD6105-007,10495,18992,3,2022-12-12
CZ6156-101,9995,33412,4,2022-12-12
CD3002-103,10995,97095,5,2022-12-12
AQ2210-002,9995,83670,3,2022-12-12
AQ0114-101,19995,72146,1,2022-12-12
AR4225-100,9597,41526,4,2022-12-12
AT7995-104,7995,80775,7,2022-12-12
CU3013-070,15995,58429,6,2022-12-12
BQ3202-011,7995,23352,6,2022-12-12
CD0490-101,9995,49507,9,2022-12-12
CD0113-400,14995,98702,1,2022-12-12
BQ4632-602,2495,63343,1,2022-12-12
BQ7978-001,11995,90515,2,2022-12-12
BQ5430-401,6297,44121,1,2022-12-12
AO0578-717,3497,47949,6,2022-12-12
CD4371-001,13995,48900,1,2022-12-12
943806-602,10995,32981,7,2022-12-12
CI3831-200,6597,88423,1,2022-12-12
849560-001,15995,12972,6,2022-12-12
AT5293-004,20995,26152,1,2022-12-12
AT5269-606,7495,59591,1,2022-12-12
CD2153-001,10995,82236,7,2022-12-12
CJ0404-001,14995,63676,2,2022-12-12
AT2863-100,15995,78502,5,2022-12-12
CI3871-300,15995,50022,4,2022-12-12
AQ7477-009,9995,34140,5,2022-12-12
BQ5615-002,11197,72355,4,2022-12-12
CD2189-002,6997,67504,8,2022-12-12
CT1020-001,9995,53587,7,2022-12-12
AT6107-606,4495,38134,2,2022-12-12
CT2584-100,11995,23008,2,2022-12-12
AR4543-013,5995,67783,7,2022-12-12
BQ4630-500,8797,79695,3,2022-12-12
CD5050-400,16995,57957,1,2022-12-12
BV7766-100,12797,13282,8,2022-12-12
CI1214-004,7997,73878,7,2022-12-12
CK0980-002,5995,49390,8,2022-12-12
AQ5708-201,6597,69275,2,2022-12-12
AV5187-602,12797,30581,7,2022-12-12
AH7857-009,11995,15349,3,2022-12-12
CD3002-103,10995,75744,5,2022-12-12
CU7623-002,16995,64365,8,2022-12-12
AT7324-001,6397,77456,6,2022-12-12
AT8242-009,15995,56526,4,2022-12-12
AO2434-101,14995,97842,4,2022-12-12
CK2718-003,18995,43457,9,2022-12-12
487754-303,7995,64776,5,2022-12-12
AA1626-602,8795,34930,7,2022-12-12
AT6175-100,5997,23643,2,2022-12-12
AT7997-606,4995,36198,1,2022-12-12
CJ6314-146,9995,58738,5,2022-12-12
885118-001,7197,17167,1,2022-12-12
CD3395-006,11995,90710,9,2022-12-12
AQ7477-009,9995,56938,6,2022-12-12
AO0571-606,7495,42035,6,2022-12-12
AT7967-104,5495,48070,7,2022-12-12
CI7815-602,7995,95365,1,2022-12-12
704939-103,6995,66712,1,2022-12-12
CJ0579-400,14995,78370,5,2022-12-12
CJ1300-401,5247,82205,6,2022-12-12
CD0888-002,7595,40994,2,2022-12-12
BQ3610-100,7697,32045,8,2022-12-12
CT7695-401,11995,68850,5,2022-12-12
AT6099-606,6495,18584,3,2022-12-12
CI3707-100,11997,33782,4,2022-12-12
CV5515-001,5995,95288,1,2022-12-12
AT5292-004,4547,91278,9,2022-12-12
AT6107-606,4495,87106,6,2022-12-12
CD6105-007,10495,67296,4,2022-12-12
CK0980-002,5995,48824,1,2022-12-12
BV7756-001,10497,16716,9,2022-12-12
CI3869-500,15995,91785,6,2022-12-12
CD5086-500,8995,48651,8,2022-12-12
CW4409-100,19995,70450,5,2022-12-12
AT5292-606,6495,77078,7,2022-12-12
CJ0217-001,6995,44150,2,2022-12-12
CT3632-001,7995,71575,4,2022-12-12
CK2608-100,14995,42882,5,2022-12-12
AV2605-101,5997,71197,9,2022-12-12
AO3267-080,6797,89502,9,2022-12-12
CD4372-004,13995,15537,7,2022-12-12
CJ0842-600,6495,73481,8,2022-12-12
AQ2203-003,9995,63714,8,2022-12-12
CT0624-100,2995,71235,2,2022-12-12
CJ9681-001,10497,46102,6,2022-12-12
CT4352-104,9995,13502,6,2022-12-12
CK2531-001,13597,40120,3,2022-12-12
AO2434-101,14995,60379,9,2022-12-12
CD3002-103,10995,52434,4,2022-12-12
CT2692-002,13995,23360,5,2022-12-12
CD2717-001,4495,20452,9,2022-12-12
BQ6044-100,12995,71458,7,2022-12-12
AT7980-606,5995,17102,1,2022-12-12
CT5528-001,8997,58617,8,2022-12-12
CJ0861-017,9995,33626,7,2022-12-12
CT2535-001,8997,82649,5,2022-12-12
CI1290-100,8397,31293,1,2022-12-12
AT8241-002,13995,64264,3,2022-12-12
943806-602,10995,63877,7,2022-12-12
CK2630-001,10397,37848,8,2022-12-12
AA8018-101,11995,92592,9,2022-12-12
AT7946-414,8495,93714,8,2022-12-12
AQ2730-009,14995,92405,5,2022-12-12
BV7725-500,4797,92965,8,2022-12-12
918193-700,13495,70638,7,2022-12-12
AT6107-606,4495,82300,7,2022-12-12
749571-154,6595,14831,3,2022-12-12
AV6243-400,13995,40072,2,2022-12-12
CI3898-200,8995,55740,7,2022-12-12
AT7898-104,22995,36061,8,2022-12-12
AQ2567-002,8397,29367,5,2022-12-12
BQ9665-301,10995,12037,3,2022-12-12
CT3110-400,5495,95722,2,2022-12-12
AO2924-401,12797,87174,2,2022-12-12
CD4159-606,5995,48693,2,2022-12-12
CD2189-002,6997,88130,3,2022-12-12
AA7408-008,5997,14041,1,2022-12-12
618919-031,2397,31279,4,2022-12-12
BV7775-100,5397,77359,5,2022-12-12
BV7774-100,6297,89780,3,2022-12-12
CT5543-300,12995,18052,7,2022-12-12
CU9174-600,13995,36180,2,2022-12-12
CI1290-100,8397,23994,7,2022-12-12
AT8179-100,9597,99702,4,2022-12-12
AA1640-002,9995,46974,6,2022-12-12
AV6337-003,9495,55569,4,2022-12-12
CJ0882-001,6495,93873,1,2022-12-12
CN2932-100,18995,11049,9,2022-12-12
AR4347-600,13597,44907,3,2022-12-12
CD5050-400,16995,71500,2,2022-12-12
885118-001,7197,47061,7,2022-12-12
CD8526-446,9995,38907,2,2022-12-12
AO0570-810,5247,24009,9,2022-12-12
AJ6910-009,16995,55740,8,2022-12-12
AR4225-100,9597,80286,4,2022-12-12
CN5501-046,13995,47779,3,2022-12-12
BQ3202-011,7995,16513,9,2022-12-12
AJ4115-060,15995,73524,6,2022-12-12
CJ5472-900,15995,61536,2,2022-12-12
AO0566-606,7495,42360,8,2022-12-12
CT1099-093,24995,66442,3,2022-12-12
AT1369-103,7995,73573,7,2022-12-12
BQ2728-012,11995,32994,3,2022-12-12
AJ6900-102,16995,73564,6,2022-12-12
BV7766-100,12797,98676,3,2022-12-12
CI7523-002,10995,72060,4,2022-12-12
943806-602,10995,34694,6,2022-12-12
BV5740-101,6597,26173,5,2022-12-12
CD2722-001,15995,60168,8,2022-12-12
AT6099-606,6495,45262,3,2022-12-12
BQ5435-401,8995,66167,6,2022-12-12
CJ9684-001,11197,29441,8,2022-12-12
AT7999-414,3497,60665,5,2022-12-12
AV6243-400,13995,36369,6,2022-12-12
BV6344-001,7797,77573,2,2022-12-12
CK5836-100,8797,68235,5,2022-12-12
CJ0277-002,11995,53269,5,2022-12-12
AO7353-105,7995,43176,5,2022-12-12
BQ9665-301,10995,46684,4,2022-12-12
AO2924-401,12797,60909,8,2022-12-12
749747-010,3597,35089,9,2022-12-12
BQ5615-002,11197,75980,2,2022-12-12
AT8000-104,5495,11158,8,2022-12-12
AO0577-717,3497,45351,6,2022-12-12
CI1694-300,11197,16375,3,2022-12-12
AT7975-606,8495,76468,2,2022-12-12
CZ6156-101,9995,21619,9,2022-12-12
CD4962-001,9995,17859,6,2022-12-12
CD4161-606,22995,45259,7,2022-12-12
CD0189-001,4495,97817,8,2022-12-12
923112-001,5597,83536,4,2022-12-12
812654-011,3357,62193,4,2022-12-12
CK3314-400,9995,91024,9,2022-12-12
AO3116-004,5397,33727,7,2022-12-12
CI3898-200,8995,77193,1,2022-12-12
BV1507-001,6597,35890,6,2022-12-12
CI3705-600,11197,24994,1,2022-12-12
AT7999-414,3497,59489,2,2022-12-12
807471-103,6995,50427,1,2022-12-12
BQ0129-106,6495,53677,8,2022-12-12
CD0490-101,9995,64235,4,2022-12-12
BQ7043-668,9995,44559,3,2022-12-12
CD0113-400,14995,46369,5,2022-12-12
